,part_number,description,quantity,price,negative_on_hand
0,0312-0235,90/90-21 54r desert race front,0,352.99,-1
1,0313-0873,140/80-18 70r desert race baja,0,520.99,-1
2,10-05722,commuter screen,0,295.99,-1
3,11-08094,hat logo patch - dark grey,0,52.99,-1
4,11117715453,"seal kit, output shaft/swing",0,47.99,-1
5,11149443334,310 clutch cover,0,265.99,-1
6,13532325737,hose running meter,0,64.99,-1
7,15310072b,"balancer set, handle bar",0,21.99,-1
8,15310121a,counterweight,0,42.99,-1
9,18122343583,covering left,0,115.99,-1
10,18127661721,flange screw,0,7.99,-2
11,18211464095,nut,0,9.99,-2
12,20-5660,sidestand,0,142.5,-1
13,24-04428,sds fairing front center,0,60.99,-1
14,24-06684,sds chin fairing left,0,91.99,-1
15,24-08108-24,black charge tank cover,0,531.99,-1
16,24-08150,sport handlebar no logo,0,238.81,-1
17,24-08235,sds chin fairing right,0,92.99,-1
18,27-08002,handlebar end cap,0,9.99,-1
19,27-08037,lh rider footpeg,0,55.99,-2
20,27-08056,mirror lh,0,78.99,-1
21,27-08083,hand grip left side,0,41.99,-2
22,27-08150,sport handlebar no logo,0,260.99,-1
23,27-l102,300v 10w40 factory line (1l),0,35.99,-2
24,27-l524,"5100 ester 10w40 oil, 4l",0,78.99,-1
25,270-4006,liqui moly brake fluid race 25,0,19.99,-1
26,286085003,ww munro bonneville tee m,0,39.99,-1
27,286093003,mw navy ls performance tee m,0,84.99,-1
28,286141402,"wmns arlington mesh glv ce, s",0,84.99,-2
29,286141406,"wmns arlington mesh glv ce, l",0,84.99,-1
30,286141409,"wmns arlington mesh glv ce,",0,84.99,-1
31,286189109,mw bk ls script tee xl,0,54.99,-1
32,286189206,mw wt ss wrk crew tee l,0,54.99,-1
33,31427718399,gasket ring,0,45.99,-1
34,32717655837,handlebar,0,350.99,-1
35,32717717088,handlebar vibration absorber,0,82.99,-1
36,32718392819,"handlebar, black",0,570.99,-1
37,32718526494,handlebar vibration absorber,0,82.99,-1
38,34910571a,ring,0,7.99,-1
39,34910601a,washer,0,0.99,-1
40,34910671a,bush,0,17.99,-1
41,34910681a,bush,0,24.99,-1
42,3601-0007,power synt 4t 10w50- 4 liter,0,134.99,-1
43,3807-0602,optimate cable o-43,0,22.99,-2
44,38301-met-000,flasher relay,0,59.99,-1
45,38379l-xxxl,"ind,script,ls,hthr,gry,xxxl",0,24.08,-1
46,395412,helm street fighter bk mat s l,0,209.99,-1
47,45-03679,headlight assy,0,258.99,-1
48,45720552aa,brake lever assembly,0,194.99,-1
49,46410531b,right footrest,0,125.99,-2
50,46548532049,"cover with gasket, left",0,600.99,-1
51,46549897984,lock right,0,310.99,-1
52,46617723819,"front wheel cover, upper lef",0,335.99,-1
53,46618536932,front wheel cover extension,0,93.99,-1
54,46638521563,"side section, primered, rear",0,260.99,-1
55,46638521662,"tank cover, center",0,890.99,-1
56,46638536083,wheel with gear unit and sha,0,335.99,-1
57,46639467643,cover for oddments,0,380.99,-1
58,46639480889,"front panel carrier, left",0,475.99,-1
59,46639480890,"front panel carrier,right",0,475.99,-1
60,46712330763,"footrest, left",0,150.99,-1
61,46718393027,"footrest plate, left",0,480.99,-1
62,46718520415,retainer spring left,0,8.99,-1
63,46719909301,fillister-head screw,0,11.99,-2
64,4801a861ab,right upper fairing red,0,983.99,-1
65,482p2471ab,cover frame rh red,0,147.99,-1
66,51141542007,"logotype, front-wheel cover,",0,180.99,-1
67,51167710463,mirror left,0,325.99,-1
68,51422-l,"black,ladies,indian,script-lg",0,29.99,-1
69,523-2540,100/90 to 130/60-17 tr6 heid tube,0,25.99,-1
70,523-2595,3.00 to 90/100-21 tr6 heid tube,0,27.99,-1
71,52539443820,"driver's seat, black, heated",0,970.99,-1
72,555-06623,rfx1 replica camo red m,0,362.99,-1
73,575569/b,hex flange bolt m6 x 30,0,2.99,-12
74,59020201a,pipe,0,367.99,-1
75,60-07780,left hand switch gear,0,148.99,-1
76,6034189,cargo net 15x15 black,0,9.99,-1
77,6034191,cargo net 15x15 blue,0,9.99,-1
78,61317653173,"heated handle, left",0,170.99,-1
79,61317727498,multi-controller,0,261.99,-1
80,61319480153,combination switch left,0,633.99,-1
81,620035,3000 4t 10w40 4l motul,0,70.99,-1
82,63132346589,front left turn indicator,0,85.99,-1
83,63140601a,"lever, front brake",0,202.99,-1
84,63217160779,bulb,0,15.99,-1
85,63237654309,rear left turn indicator,0,85.99,-1
86,65-08049,led turn signal clear,0,85.99,-1
87,7112227,"eliminator,vanish,mt,bk/rd s",0,549.99,-1
88,7119928534,countersunk head screw,0,14.99,-1
89,7129904987,"isa bolt, black",0,6.99,-1
90,7129909303,fillister-head screw,0,16.99,-1
91,72792067,return cap 6.70 mm,0,50.99,-1
92,72792070,return cap 7.00 mm,0,50.99,-1
93,72792071,return cap 7.10 mm,0,50.99,-1
94,72792167,return cap 6.75 mm,0,50.99,-1
95,76211541382,glove ''rallye'' in black,0,153.99,-1
96,76228548132,boots ''gravel'',0,475.99,-1
97,77147700463,"set, engine crash bars, left",0,361.99,-1
98,77148527786,shim,0,6.99,-1
99,77210841ba,screw,0,2.99,-1
100,77418559933,case left,0,549.99,-1
101,77427700461,"impact protection, touring c",0,171.99,-1
102,77428523268,pin with nut,0,47.99,-1
103,77918092aa,"screw, special",0,7.99,-4
104,79438015010,ktm oil filter service kit,0,66.99,-1
105,80-08012,decal fairing,0,5.99,-2
106,80-08133-4,zero decal,0,42.99,-2
107,82414041ba,r.h. foot peg holder plate,0,250.99,-1
108,85-03463,lh signal lite,0,60.22,-1
109,90-02837,e clip 0.375,0,2.99,-1
110,90-02879,pin clip footpeg,0,2.99,-1
111,90-07277,hexagon socket thin head cap,0,6.99,-1
112,987702820,die cast model panigale v4 s,0,9.99,-1
113,987705916,dc sport red/black sweatshirt,0,149.99,-1
114,b07d3z97hq,metric white nylon,0,20.99,-1
115,b09npz3cf2,bulk generic wellnuts,0,24.0,-1
116,bm-01,tube 80/100-21 / 90/90-21 m15 bib,0,302.99,-1
117,imc-tee-1-3xl,"imc,tee,gry,3xl",0,25.99,-1
118,imc-tee-1-m,"imc,tee,gry,md",0,25.99,-2
119,imc-tee-2022,indian + island moto tee shirts,0,29.99,-2
120,mgvs18122-xxl,malvern glove,0,251.99,-1
121,mgvs20110-xl,triple glove,0,249.99,-1
122,mgvs20115-m,blk raven glove,0,94.99,-1
123,mgvs2201-001s,tplr p glve-s,0,124.99,-1
124,mtls22404-l,tiger 1200-l,0,84.99,-1
125,mtpc18407-m,malvern jacket-m,0,925.99,-1
126,mtss21018-s,boleigh tee,0,44.99,-1
127,mtss22403-xl,tiger 1200-xl,0,49.99,-1
128,p603,wheel rim lock 2.50,0,19.99,-1
129,sm-15500g,s100 wheel cleaner gel- 500ml,0,21.99,-1
130,sm-18400a,s100 detail & wax- 10oz/283g,0,21.99,-2
131,t2051750,chain guard,0,87.99,-1
132,t3601276,"o ring, id 23.7 x 2.9",0,3.99,-1
